maps_name,maps_city,maps_address,maps_phone,maps_website,maps_category,apollo_industry,apollo_employee_count,contact_name,contact_title,contact_email,contact_phone,source,notes
CAD-SOL Design Solution,Rajkot,"police station, brts, behind vavdi, near punit nagar, Vavdi, Rajkot, Gujarat 360004",098989 09920,https://www.cadsolglobal.com/,Design engineer,,,,,,,none,Apollo org not found for domain cadsolglobal.com
Design Studio Institute Pune: BIM Training AutoCAD Revit MEP Nx CAD CAM CATIA Classes Interior Design Courses 3D Max SketchUp,Pune,"Office No 19, 1st Floor, Brahma Estate Commercial Plaza, Wing C-2 Kondhwa Rd, NIBM Jct, Krishnakevalnagar, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048",089831 00666,https://www.designstudioinst.com/,Mechanical engineer,government administration,33,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
CAD Designer all type 3d models,"Ludhiana, Dad","b-36/958, street no 1, near lodhi club, Guru Amardas Nagar, Rajguru Nagar Extension Part-1, Rajguru Nagar, Ludhiana, Dad, Punjab 141001",079732 95696,,Design engineer,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
R D INDUSTRIAL DESIGN-engineering consultants,Vadodara,"TF, Westgate Elite, IPCL ROAD, opp. RAMDEV PARK, Undera, Vadodara, Gujarat 391330",082003 21092,https://rdindustrialdesign.com/,Mechanical engineer,,,,,,,none,Apollo org not found for domain rdindustrialdesign.com
ENGINEERING AND ARCHITECTURAL DESIGN CONSULTANT,Vadodara,"YOGI FLORENCIA, 215, Makarpura Rd, beside VOLTAMP TRANSFORMER, Himmat Nagar, Makarpura, Vadodara, Gujarat 390014",095586 30764,http://eadesignstudio.in/,Engineering consultant,architecture & planning,,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
MEPIC Engineering Design Associates LLP,Vadodara,"409, Everest Hub, opp. Narayan Garden, Laxmipura Rd, Gotri, Vadodara, Gujarat 390023",099099 06832,https://mepicengineering.com/,Engineering consultant,information technology & services,15,Punita Dave,Human Resources Executive,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
DeepJyoti Product Design,Vadodara,"2nd floor, Vinraj Plaza, Kothi Rd, below Indu Blood Bank, Opposite Goverment Press, Anandpura, Vadodara, Gujarat 390001",076003 58669,https://www.deepjyotiproductdesign.in/,Mechanical engineer,,,,,,,none,Apollo org not found for domain deepjyotiproductdesign.in
Stealth GCC,,,,https://www.linkedin.com/in/naitikpanchal,Engineering consultant,information technology & services,24000,,,,,none,9 other candidate(s) with a relevant title were also found; picked most senior; discarded bogus @linkedin.com placeholder email from Apollo
Technofine Engineering & Consulting Company,Vadodara,"FF 9, Kalpvruksh Apartments, 10, Gotri Rd, Gotri, Vadodara, Gujarat 390007",099252 69910,http://www.technofineengineering.com/,Engineering consultant,oil & energy,10,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Libra Process Technologies Private Limited,Vadodara,"116, Blue Diamond Complex, VIP Rd, Char Rasta, Fatehgunj, Vadodara, Gujarat 390008",099250 49125,http://www.libraprocesstech.com/,Engineering consultant,design,27,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
M F KHATRI Consulting Engineers,Vadodara,"PANCHAM ICON, 207, Vasna Rd, beside D'MART, Kalyan Nagar, Diwalipura, Vadodara, Gujarat 390007",099986 75908,http://www.khatriconsulting.com/,Engineering consultant,design,5,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
TDV Engineering Solutions,Vadodara,"507&508, Glade Centrum, New VIP Rd, Pooja Park Society, Purushottam Nagar, Bapunagar, Vadodara, Gujarat 390019",091060 89656,http://www.tdves.com/,Engineering consultant,mechanical or industrial engineering,35,Medisetti Vasavi,Founding Member,,,apollo,
TUVIX engineering solutions / product design / manufacturing / 3Dprinting / Industrial design / machine design / prototyping,Ahmedabad,"520 City Centre 2, Science City Rd, Sola, Ahmedabad, Gujarat 380060",087582 00764,http://www.tuvix.in/,Engineering consultant,machinery,2,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
DEV Engineering - Design | Product Development | 3D Printing,Ahmedabad,"E-512, Titanium City Center, 100 Feet Rd, near Sachin G I D, Ahmedabad, Gujarat 380015",097129 38269,http://www.dev-engg.com/,Engineering consultant,design,19,Dev Engineering,Company Owner,,,apollo,
"TAPAS ENTERPRISE(Contract Manufacturing, Simplified)",Vadodara,"816, beside max hydro, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390010",,https://tapasenterprise.com/,Mechanical engineer,,,,,,,none,Apollo org not found for domain tapasenterprise.com
Shree Ram Cad and Rendering Studio,Surat,"V Plaza, 101, near Gajera School, Katargam, Surat, Gujarat 395004",073834 52867,,Design agency,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
PK Engineering,Surat,"A-106, CENTERPOINT BUILDING, civil char rasta, near kadiwala school, Surat, Gujarat 395002",074055 74604,https://sites.google.com/view/pkengineering/home_1,Design agency,information technology & services,318000,Yash Kheni,Founder,,,none,"9 other candidate(s) with a relevant title were also found; picked most senior; Apollo contact (Angela Moyer) appears based outside India per SignalHire (Tulsa, Oklahoma, United States) — likely a wrong org match, discarded"
SMART CAD SOLUTION,Surat,"257, SILVERSTONE ARCADE, Causeway Rd, Industrial Area, Singanpor, Surat, Gujarat 395004",063547 87141,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Mr. Engineer Project Maker,Surat,"60, sahyog society sumul dairy road, Surat, Gujarat 395008",097307 50084,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Trident IT Technology- CADMATE SOFTWARE (Autocad Software's lifetime option),Surat,"Exult shoppers, near siddhi vinayak temple, Vesu, Surat, Gujarat 395007",090163 03207,https://tridentittechnology.in/,Engineering consultant,information technology & services,11,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Engineering Cad Services And Training Centre,Mumbai,"Afiya Building, New Hall Road, Kurla West, Kurla, Mumbai, Maharashtra 400070",086552 35905,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Vectresa CAD Services,Vasai-Virar,"Rashmi Pink City, Juchandra Rd, opposite Don Bosco High School, Naigaon East, Vasai-Virar, Maharashtra 401208",,https://vectresa.com/,Drafting Service Center,,,,,,,none,Apollo org not found for domain vectresa.com
Atri Renewables Pvt Ltd - Solar design consultant,Surat,"Pragati it park, Digital Valley, C1/508, opp. AR mall, Mota Varachha, Surat, Gujarat 394101",089808 58480,https://atrirenewables.com/,Engineering consultant,,,,,,,none,Apollo org not found for domain atrirenewables.com
Esscons MEP | MEP Consultants | MEP Consultancy Services | MEP Services| Electrical Engineering | Esscons MEP,Surat,"The Boulevard 323.2 Near Pratham Circle, galleria street Green City Road, Pal, Adajan, Surat, Gujarat 394510",084695 16900,http://www.essconsmep.com/,Mechanical engineer,consumer services,10,Jitendra Panchal,Independent Director,,,apollo,
CoolBreeze MEPF Design Consultants,Surat,"103,104 Nishal arced near galaxy circle adajan, Pal Gam, Surat, Gujarat 394510",096872 54871,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Lakhani Engineers & Organisation,Surat,"Dangi Sheri-1, 7/4853, Bh.Hotel Happiness, opp. Gopal house, nr. Delhi Gate, Japan Market, Crossing, Surat, Gujarat 395003",0261 245 0114,http://www.lakhaniengineers.in/,Engineering consultant,machinery,18,Mayur Tandel,Project Executive,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
JEC Design Consultants,,,078932 87394,https://jecdesignconsultants.com/,Mechanical engineer,design,,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Alliance MEP Consultants.,Surat,"Noorani Manzil, 12/2719, near Aganovad, near Royal jewellers, Jariwala Compound, Saiyadpura, Khatodra Wadi, Surat, Gujarat 395003",,http://www.alliancemep.in/,Engineering consultant,,,,,,,none,Apollo org not found for domain alliancemep.in
Vrukshagra Consulting Services (VCS),Surat,"38, S. K. Park, Umara Gaam road,, Ichchhanath, near SVNIT college, Surat, Gujarat 395007",098988 05116,http://www.vcsre.in/,Engineering consultant,construction,,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
Vi-Tech Engineering Co.,Surat,"405 406 Green Aristo Plaza, near BR park, Vaishnodevi canal road, Vanakala, Jahangir Pura, Surat, Gujarat 395005",095377 41489,https://vi-techengineering.com/,Mechanical engineer,,,Vipin Pillai,Assistant General Manager,,,none,Apollo org not found for domain vi-techengineering.com
Mody Technical Consultancy India Private Limited,Surat,"3rd Floor, T-6 to 12, Anand Mahal Rd, Adajan Gam, Adajan, Surat, Gujarat 395009",081286 87540,,Engineering consultant,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
S.D.S. Engineers,Surat,"Shed No-22, New Functions Estate, Udhana GIDC, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Udhana, Surat, Gujarat 394210",097260 13232,http://www.sdsengineers.com/,Mechanical engineer,,,,,,,none,Apollo org not found for domain sdsengineers.com
ProtoForge Technologies,Surat,"TULSI ARCED, 351, Sudama Chowk, Mota Varachha, Surat, Gujarat 394101",092748 13900,,Industrial design company,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Primes Creative Solution(Product Design),Surat,"Kapodra Utran Rd, GEB Colony, Adarsh Society, Ram Nagar, Varachha, Surat, Gujarat 395006",096646 67082,https://www.primescreative.com/,Design engineer,,,,,,,none,Apollo org not found for domain primescreative.com
Ingenious Design Solutions,Surat,"504, Western Corridor, Adajan Gam Char Rasta, Hazira - Adajan Rd, Surat, Gujarat 395009",,,Mechanical engineer,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Atul Auto Care consult and bike troli and welder project home design looking home and office. Product,"Vareli, Kadodara","shop number 7, Vareli kadodara road surat Gujarati Garden warli ke samne Gopal Krishna complex, Gujarat 394327",098794 51077,,Mechanical engineer,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
Incad Design - Reverse Engineering and Manufacturing Services,Surat,"SOC, 76, Maruti Nagar Main Rd, near SITANAGAR, Govind Nagar, Limbayat, Surat, Gujarat 395012",084697 91398,,Design agency,,,,,,,none,"no website on Maps listing, cannot org-match on Apollo"
MechXcel Designs,Surat,"704, Western Corridor, char rasta, near Adajan Gam, Jalaram Society, Adajan Gam, Adajan, Surat, Gujarat 395009",099989 95852,http://mechxcel.in/,Industrial design company,information technology & services,14,,,,,none,"org matched, no CEO/Founder/Owner/Director-titled person found"
JKL Engineering Solutions,Surat,"laxminarayan temple, Ghayal Compound, Baroda Rayon Corporation, Jeevan Jyothi Nagar, Udhana, Surat, Gujarat 394210",088663 61008,http://www.jklengineering.co.in/,Mechanical engineer,mechanical or industrial engineering,3,Dipesh Jasani,Owner,,,apollo,1 other candidate(s) with a relevant title were also found; picked most senior
Scan2CAD-Reverse Engineering Services and Product Design Services,Surat,"MBC- Meridian Business Center, 610, Lajamni Chowk, opposite Opera Business center, Shanti Niketan Society, Mota Varachha, Surat, Gujarat 394101",,https://www.scan2cad.in/,Design agency,,,,,,,none,Apollo org not found for domain scan2cad.in
